ESDname,number of schools in district,School Name,ODS Provider,Other ODS option,Estimated Cost From School,Grade 5 Students,Grade 6 Students,days and nights,"total price per student, calculated from school data",Is the money enough,If less than threshold,ODS Provider Fees,Transportation,Personell Stipends,Program Costs (w/o admin fees),total cost - PRELIMINARY
North Powder SD 8J,1,North Powder Elementary,Buck Creek Cabin,,,24,22,3 Days 2 Nights,0.0,Yes,197,,,,,9062.0, , , 
Ione SD R2,1,Ione Community School,None (School / Applying District is provider),,,0,12,4 Days 3 Nights,0.0,Yes,440,,,,,5280.0, , , 
Elgin SD 23,1,Stella Mayfield Elementary,None (School / Applying District is provider),,,30,30,4 Days 3 Nights,0.0,Yes,250,,,,,15000.0, , , 
Milton-Freewater Unified SD 7,1,Freewater Elementary School,None (School / Applying District is provider),,,130,0,3 Days 2 Nights,0.0,Yes,198,,,,,25740.0, , , 
Jefferson County SD 509J,2,Jefferson County Middle School ,Camp Tamarack,,Provider Costs,0,165,3 Days 2 Nights,180.0,No,,180,10,,,29700.0, , , 
Jefferson County SD 509J,2,Warm Springs K-8 Academy,Camp Tamarack,,Provider Costs,66,0,3 Days 2 Nights,180.0,No,,180,10,,,11880.0, , , 
Grants Pass SD 7,1,South Middle School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Provider Costs,Other",0,240,3 Days 2 Nights,0.0,No,,,,,,no price per student found, , , 
Creswell SD 40,1,Creswell Middle School,None (School / Applying District is provider),,,0,100,4 Days 3 Nights,0.0,Yes,150,,,,,15000.0, , , 
Pilot Rock SD 2,1,Pilot Rock Jr/Sr High School,None (School / Applying District is provider),,,0,32,4 Days 3 Nights,0.0,Yes,248,,,,,7936.0, , , 
Neah-Kah-Nie SD 56,1,Neah-Kah-Nie Middle School,Northwest Regional Education Service District,,,0,75,4 Days 3 Nights,0.0,Yes,300,,,,,22500.0, , , 
Harper SD 66,1,Harper Charter School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Small Class Size",8,0,3 Days 2 Nights,0.0,No,,,,,,no price per student found, , , 
Pleasant Hill SD 1,1,Pleasant Hill High School (Middle),None (School / Applying District is provider),,,0,78,4 Days 3 Nights,0.0,Yes,248,,,,,19344.0, , , 
Crook County SD,4,Crook County Middle School,None (School / Applying District is provider),,,0,207,5 Days 4 Nights,0.0,Yes,304,,,,,62928.0, , , 
Crook County SD,4,Paulina Elementary School,None (School / Applying District is provider),,,0,2,5 Days 4 Nights,0.0,Yes,304,,,,,608.0, , , 
Crook County SD,4,Brothers Elementary School,None (School / Applying District is provider),,,0,2,5 Days 4 Nights,0.0,Yes,304,,,,,608.0, , , 
Crook County SD,4,Powell Butte Community Charter School,None (School / Applying District is provider),,,0,27,5 Days 4 Nights,0.0,Yes,304,,,,,8208.0, , , 
Adrian SD 61,1,Adrian School District,Other,Lake Creek Campground,,0,27,4 Days 3 Nights,0.0,Yes,248,,,,,6696.0, , , 
Imbler SD 11,1,Imbler Elementary School,None (School / Applying District is provider),,,0,25,3 Days 2 Nights,0.0,Yes,198,,,,,4950.0, , , 
,1,slakd,,,,12,0,,0.0,,,,,,,no price per student found, , , 
Harney County SD 3,1,Hines Middle School,OMSI,,,0,65,3 Days 2 Nights,0.0,Yes,195,,,,,12675.0, , , 
